LineNumber;OrderItemId;OrderId;BuyerName;BuyerEmail;Address;PostCode;SalePrice;ShippingPrice;SKU;Status;OrderDate
22;21;17;gdsgdg grtgt;valaki@freemail.hu;fgewhtrwhr;23124;3.7;1.00;fdfdsafg;out_of_stock;2018-01-20
23;22;14;gdsgdg grtgt;valaki@freemail.hu;fgewhtrwhr;23124;3.7;0.00;fdfdsafg;in_of_stock;2018-01-20
24;23;18;gdsgdg grtgt;valaki@valami.hu;fgewhtrwhr;23124;3.7;0.50;fdfdsafg;in_stock;2018-01-22
25;24;19;gdsgdg grtgt;valaki@freemail.hu;fgewhtrwhr;23124;3.7;0.00;fdfdsafg;out_of_stock;2018-01-20
26;25;20;gdsgdg grtgt;valaki@freemail.hu;fgewhtrwhr;23124;6.5;6.00;fdfdsafg;out_of_stock;2018-01-20
27;26;21;gdsgdg grtgt;valaki@freemail.hu;fgewhtrwhr;23124;3.7;1.00;fdfdsafg;out_of_stock;2018-01-20
28;27;22;gdsgdg grtgt;valaki@freemail.hu;fgewhtrwhr;23124;3.7;0.00;fdfdsafg;out_of_stock;2018-01-20
29;47;23;gdsgdg grtgt;valaki@valami.hu;fgewhtrwhr;23124;3.7;0.50;fdfdsafg;in_stock;
30;28;24;gdsgdg grtgt;valaki@freemail.hu;fgewhtrwhr;23124;3.7;0.00;fdfdsafg;out_of_stock;2018-01-20
31;29;25;gdsgdg grtgt;valaki@freemail.hu;fgewhtrwhr;23124;17.5;2.00;fdfdsafg;out_of_stock;2018-01-20
32;30;26;gdsgdg grtgt;valaki@freemail.hu;fgewhtrwhr;23124;18.2;1.00;fdfdsafg;out_of_stock;2018-01-20
33;31;27;gdsgdg grtgt;valaki@freemail.hu;fgewhtrwhr;23124;22.4;0.00;fdfdsafg;out_of_stock;2018-01-20
34;32;28;gdsgdg grtgt;valaki@valami.hu;fgewhtrwhr;23124;3.7;0.50;fdfdsafg;in_stock;2018-01-23
35;33;29;gdsgdg grtgt;valaki@freemail.hu;fgewhtrwhr;23124;41.7;0.00;fdfdsafg;out_of_stock;
36;34;30;gdsgdg grtgt;valaki@freemail.hu;fgewhtrwhr;23124;56.5;6.00;fdfdsafg;out_of_stock;2018-01-20
37;35;31;gdsgdg grtgt;valaki@zahoo.hu;fgewhtrwhr;23124;13.7;1.00;fdfdsafg;out_of_stock;2018-01-20
38;36;32;gdsgdg grtgt;valaki@yahoo.com;fgewhtrwhr;23124;14.7;0.00;fdfdsafg;out_of_stock;2018-01-20
39;37;33;gdsgdg grtgt;valaki@valami.hu;fgewhtrwhr;23124;3.75;0.50;fdfdsafg;in_stock;2018-01-25
40;38;34;gdsgdg grtgt;valaki@freemail.hu;fgewhtrwhr;23124;31.7;0.00;fdfdsafg;out_of_stock;2018-01-20
41;39;35;gdsgdg grtgt;valaki@freemail.hu;fgewhtrwhr;23124;16.5;6.00;fdfdsafg;out_of_stock;2018-01-20
42;40;36;gdsgdg grtgt;valaki@freemail.hu;fgewhtrwhr;23124;4.7;1.00;fdfdsafg;out_of_stock;2018-01-20
